"id","mac","glasses","pet.type","favorite.color","prior.gpa","height","tutoring","passed"
1,FALSE,FALSE,"dog","red",3.86,63,TRUE,TRUE
2,FALSE,TRUE,"cat","green",2.37,66,FALSE,FALSE
3,TRUE,FALSE,"none","orange",3.98,66,FALSE,TRUE
4,FALSE,FALSE,"dog","red",3.78,68,TRUE,TRUE
5,TRUE,FALSE,"cat","blue",3.73,67,TRUE,TRUE
6,FALSE,FALSE,"dog","green",3.99,61,TRUE,TRUE
7,FALSE,TRUE,"none","red",3.75,62,TRUE,TRUE
8,FALSE,FALSE,"dog","red",3.73,61,TRUE,TRUE
9,FALSE,FALSE,"none","red",4,64,TRUE,TRUE
10,FALSE,FALSE,"dog","orange",3.64,62,FALSE,TRUE
11,TRUE,FALSE,"dog","red",3.98,63,TRUE,TRUE
12,FALSE,TRUE,"cat","green",3.72,64,TRUE,TRUE
13,FALSE,TRUE,"dog","blue",3.95,66,TRUE,TRUE
14,FALSE,FALSE,"fish","blue",3.29,69,TRUE,TRUE
15,FALSE,FALSE,"none","blue",1.86,68,FALSE,FALSE
16,TRUE,TRUE,"dog","blue",3.11,64,FALSE,FALSE
17,FALSE,TRUE,"dog","blue",3.41,66,TRUE,TRUE
18,FALSE,TRUE,"none","green",3.87,72,TRUE,TRUE
19,FALSE,FALSE,"none","blue",3.5,68,TRUE,TRUE
20,TRUE,FALSE,"dog","orange",3.53,66,TRUE,TRUE
21,FALSE,FALSE,"dog","blue",2.87,70,TRUE,TRUE
22,FALSE,FALSE,"dog","blue",2.32,62,FALSE,TRUE
23,FALSE,FALSE,"cat","red",3.93,63,FALSE,TRUE
24,FALSE,FALSE,"none","orange",3.76,69,FALSE,TRUE
25,FALSE,TRUE,"dog","blue",3.58,63,FALSE,TRUE
26,TRUE,FALSE,"dog","blue",3.62,69,TRUE,TRUE
27,FALSE,FALSE,"dog","red",3.86,71,FALSE,TRUE
28,TRUE,FALSE,"dog","red",3.53,66,FALSE,TRUE
29,FALSE,TRUE,"dog","blue",2.32,65,FALSE,TRUE
30,TRUE,TRUE,"none","red",2.55,68,FALSE,TRUE
31,TRUE,FALSE,"none","blue",3.73,67,TRUE,TRUE
